fuente,ciudad,fecha,especie,localidad_zona,barrio,evento,atenciones,caninos,felinos,maltrato_atendidos,maltrato_aprehendidos,urgencias,microchip,castrados,potencialmente_peligroso
CALI_ADOPTADOS,CALI,2024-04-16,CANINO,17,CIUDADELA CONFANDI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-17,CANINO,20,SEMINARIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-17,CANINO,19,LOS CIRSTALES,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-17,CANINO,20,MARLLY JULIETH SANCHEZ,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-17,CANINO,4,EVARISTO GARCA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-18,FELINO,10,CRISTOBAL COLON,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-18,CANINO,10,JUNIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-18,CANINO,10,JUNIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-19,CANINO,2,GRANADA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-19,CANINO,2,EL BOSQUE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-19,CANINO,17,INGENIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-20,CANINO,14,VALLADO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-20,CANINO,17,CANEY,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-20,CANINO,10,EL JUNIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-21,CANINO,5,BRISAS DE LOS ANDES,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-22,CANINO,6,SAN LUIS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-22,CANINO,6,SAN LUIS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-23,CANINO,SIN_DATO,SIN_DATO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-24,FELINO,18,PRADOS DEL SUR,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-24,FELINO,18,PRADOS DEL SUR,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-25,CANINO,5,TORRES DE CONFANDI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-25,FELINO,8,LA FLORESTA,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-26,FELINO,18,ALTO MELENDEZ,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-26,FELINO,18,ALTO MELENDEZ,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-28,CANINO,10,LA SELVA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-29,OTRO,10,SAN JUDAS,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-30,CANINO,14,DISTRITO DE AGUA BLANCA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-30,CANINO,17,SAMANES DE GUADALUPE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-30,CANINO,12,NUEVA FLORESTA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-30,CANINO,15,EL VALLADO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-30,CANINO,19,SANTA ISABEL,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-30,CANINO,19,SANTA ISABEL,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-05,CANINO,19,CAMINO REAL,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-07-05,CANINO,2,CHIPICHAPE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-08-05,CANINO,19,REFUGIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-09-05,FELINO,12,NUEVA FLORESTA,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-05,OTRO,10,EL DORADO,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-05,OTRO,10,EL DORADO,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-05,CANINO,8,LAS AMERICAS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-05,CANINO,21,POTRERO GRANDE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-05,CANINO,19,CALDAS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-05,CANINO,2,SAN VICENTE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-05,CANINO,19,CAAVERALEJO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-15,CANINO,2,SANTA MNICA RESIDENCIAL,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-15,CANINO,20,LLERAS CAMARGO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-20,CANINO,17,QUEREMAL,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-21,CANINO,1,PIZAMOS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-23,CANINO,2,LA FLORA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-25,CANINO,19,BELLA SUIZA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-25,CANINO,11,EL JARDIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-25,CANINO,SIN_DATO,SIN_DATO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-29,CANINO,SIN_DATO,YUMBO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,17,LAS VEGAS DE COMFANDI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,13,POBLADO 1,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,13,POBLADO 1,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,2,VIPASA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,18,ALTOS DE SANTA ELENA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,17,CAPRI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,FELINO,22,BOCHALEMA,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,FELINO,5,TORRES DE COMFANDI,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,2,CALIMIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,18,MELENDEZ,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,10,PANAMERICANO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-06,CANINO,22,PANCE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-06,CANINO,20,LA SIRENA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-06,FELINO,19,TEJARES DE SAN FERNANDO,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-08-06,CANINO,5,SALOMIA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-08-06,CANINO,18,MELENDEZ,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-11-06,CANINO,17,BOCHALEMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-13,CANINO,22,BOCHALEMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-14,CANINO,20,BELISARIO CAICEDO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,17,INGENIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,17,SAMANES DE GUADALUPE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,17,PRIMERO DE MAYO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,17,LIMONAR,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,FELINO,SIN_DATO,JAMUNDI,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,17,VALLE DEL LILI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,17,VALLE DEL LILI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,SIN_DATO,JAMUNDI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,17,LIMONAR,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-15,CANINO,10,SAN JUDAS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-18,FELINO,17,CAPRI,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-18,FELINO,17,CAPRI,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-18,CANINO,SIN_DATO,ROZO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-18,CANINO,7,45511,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-19,OTRO,11,SAN CARLOS,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-19,OTRO,SIN_DATO,JAMUNDI,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-19,OTRO,SIN_DATO,JAMUNDI,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-19,OTRO,SIN_DATO,JAMUNDI,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-19,OTRO,SIN_DATO,JAMUNDI,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-19,OTRO,SIN_DATO,JAMUNDI,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-19,OTRO,SIN_DATO,JAMUNDI,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-20,CANINO,13,JUNIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-21,FELINO,17,CALI,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-21,FELINO,17,CALI,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-24,CANINO,2,CALI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-24,CANINO,19,NUEVA GRANADA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-24,CANINO,SIN_DATO,CALI,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-24,CANINO,2,VIPASA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-26,CANINO,SIN_DATO,FELIDIA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-26,CANINO,SIN_DATO,FELIDIA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-26,FELINO,18,BOGOTA,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-06-26,FELINO,SIN_DATO,CALI,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-07,CANINO,17,LAS VEGAS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-07,CANINO,17,EL INGENIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-07,CANINO,SIN_DATO,LA BUITRERA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-07,CANINO,19,SAMANES DE LA GUADALUPE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-07,CANINO,SIN_DATO,DAGUA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-11-07,CANINO,10,JUNIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-12-07,CANINO,9,GUAYAQUIL,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-12-07,CANINO,20,PATIO TRES LLERAS CAMARGO,ADOPCION,1,1,0,0,0,0,0,0,0
